route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,S32,Roosendaal (NL) -- Essen,,100,,,
10,NMBS/SNCB,BUS,Charleroi-Sud -- Tamines,,700,,,
100,NMBS/SNCB,IC,Lille Flandres(FR) -- Anvers-Central,,103,,,
101,NMBS/SNCB,IC,Lille Flandres(FR) -- Courtrai,,103,,,
102,NMBS/SNCB,IC,Anvers-Central -- Mouscron,,103,,,
103,NMBS/SNCB,IC,MAUBEUGE (F) -- Namur,,103,,,
104,NMBS/SNCB,IC,Lille Flandres(FR) -- Tournai,,103,,,
105,NMBS/SNCB,IC,Lille Flandres(FR) -- Namur,,103,,,
106,NMBS/SNCB,S1,Bruxelles-Nord -- Anvers-Central,,100,,,
107,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Noorderdokken,,103,,,
108,NMBS/SNCB,IC,Anvers-Noorderdokken -- Charleroi-Sud,,103,,,
109,NMBS/SNCB,IC,Anvers-Central -- Charleroi-Sud,,103,,,
11,NMBS/SNCB,BUS,Herstal -- Liers,,700,,,
110,NMBS/SNCB,IC,Bruxelles-Nord -- Charleroi-Sud,,103,,,
111,NMBS/SNCB,S10,Bruxelles-Midi -- Alost,,100,,,
112,NMBS/SNCB,S10,Termonde -- Alost,,100,,,
113,NMBS/SNCB,IC,Luxembourg (LU) -- Namur,,103,,,
114,NMBS/SNCB,IC,Luxembourg (LU) -- Bruxelles-Midi,,103,,,
115,NMBS/SNCB,IC,Bruxelles-Midi -- Arlon,,103,,,
116,NMBS/SNCB,IC,Luxembourg (LU) -- Ciney,,103,,,
117,NMBS/SNCB,IC,Luxembourg (LU) -- Ostende,,103,,,
118,NMBS/SNCB,IC,Bruxelles-Midi -- Libramont,,103,,,
119,NMBS/SNCB,IC,Ciney -- Libramont,,103,,,
12,NMBS/SNCB,BUS,Libramont -- Arlon,,700,,,
120,NMBS/SNCB,IC,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
121,NMBS/SNCB,IC,Rochefort-Jemelle -- Ostende,,103,,,
122,NMBS/SNCB,IC,Arlon -- Ostende,,103,,,
123,NMBS/SNCB,IC,Rochefort-Jemelle -- Arlon,,103,,,
124,NMBS/SNCB,S4,Bruxelles-Luxembourg -- Alost,,100,,,
125,NMBS/SNCB,S4,Vilvorde -- Alost,,100,,,
126,NMBS/SNCB,IC,Tongres -- Gand-Saint-Pierre,,103,,,
127,NMBS/SNCB,IC,Gand-Saint-Pierre -- Lokeren,,103,,,
128,NMBS/SNCB,IC,Hasselt -- Gand-Saint-Pierre,,103,,,
129,NMBS/SNCB,IC,Gand-Saint-Pierre -- Termonde,,103,,,
13,NMBS/SNCB,BUS,Bruxelles-Luxembourg -- Namur,,700,,,
130,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
131,NMBS/SNCB,S3,Audenarde -- Termonde,,100,,,
132,NMBS/SNCB,S3,Termonde -- Zottegem,,100,,,
133,NMBS/SNCB,S3,Bruxelles-Nord -- Audenarde,,100,,,
134,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Courtrai,,103,,,
135,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Ostende,,103,,,
136,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Lichtervelde,,103,,,
137,NMBS/SNCB,IC,Ostende -- Courtrai,,103,,,
138,NMBS/SNCB,IC,Liège-Saint-Lambert -- Namur,,103,,,
139,NMBS/SNCB,IC,Bruxelles-Midi -- Liège-Saint-Lambert,,103,,,
14,NMBS/SNCB,BUS,Châtelet -- Tamines,,700,,,
140,NMBS/SNCB,IC,Liège-Saint-Lambert -- Tournai,,103,,,
141,NMBS/SNCB,IC,Liège-Saint-Lambert -- Ostende,,103,,,
142,NMBS/SNCB,IC,Bruxelles-Midi -- Liers,,103,,,
143,NMBS/SNCB,IC,Bruxelles-Midi -- Herstal,,103,,,
144,NMBS/SNCB,L,Hasselt -- Louvain,,100,,,
145,NMBS/SNCB,IC,Namur -- Yvoir,,103,,,
146,NMBS/SNCB,IC,Namur -- Dinant,,103,,,
147,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Dinant,,103,,,
148,NMBS/SNCB,IC,Bruxelles-Midi -- Dinant,,103,,,
149,NMBS/SNCB,IC,Bruxelles-Midi -- Yvoir,,103,,,
15,NMBS/SNCB,BUS,Malines -- Termonde,,700,,,
150,NMBS/SNCB,S32,Essen -- Boom,,100,,,
151,NMBS/SNCB,S32,Anvers-Central -- Essen,,100,,,
152,NMBS/SNCB,S32,Roosendaal (NL) -- Anvers-Central,,100,,,
153,NMBS/SNCB,S32,Essen -- Puurs,,100,,,
154,NMBS/SNCB,S32,Roosendaal (NL) -- Puurs,,100,,,
155,NMBS/SNCB,S32,Anvers-Central -- Puurs,,100,,,
156,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
157,NMBS/SNCB,IC,Anvers-Central -- Hasselt,,103,,,
158,NMBS/SNCB,IC,Anvers-Central -- Tongres,,103,,,
159,NMBS/SNCB,IC,Malines -- Louvain,,103,,,
16,NMBS/SNCB,BUS,Rodange (LU) -- Virton,,700,,,
160,NMBS/SNCB,S34,Anvers-Central -- Termonde,,100,,,
161,NMBS/SNCB,S34,Anvers-Central -- Lokeren,,100,,,
162,NMBS/SNCB,S34,Anvers-Central -- Saint-Nicolas,,100,,,
163,NMBS/SNCB,L,Louvain -- Saint-Nicolas,,100,,,
164,NMBS/SNCB,L,Malines -- Saint-Nicolas,,100,,,
165,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Bruges,,103,,,
166,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Knokke,,103,,,
167,NMBS/SNCB,IC,Schaerbeek -- Bruxelles-Midi,,103,,,
168,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Gand-Saint-Pierre,,103,,,
169,NMBS/SNCB,IC,Schaerbeek -- Gand-Saint-Pierre,,103,,,
17,NMBS/SNCB,BUS,Namur -- Ciney,,700,,,
170,NMBS/SNCB,IC,Schaerbeek -- Knokke,,103,,,
171,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
172,NMBS/SNCB,L,Anvers-Central -- Louvain,,100,,,
173,NMBS/SNCB,IC,Hasselt -- Liège-Guillemins,,103,,,
174,NMBS/SNCB,IC,Anvers-Central -- Liège-Guillemins,,103,,,
175,NMBS/SNCB,IC,Anvers-Central -- Liers,,103,,,
176,NMBS/SNCB,S33,Anvers-Central -- Mol,,100,,,
177,NMBS/SNCB,IC,Gand-Saint-Pierre -- La Panne,,103,,,
178,NMBS/SNCB,IC,Anvers-Central -- La Panne,,103,,,
179,NMBS/SNCB,IC,Landen -- La Panne,,103,,,
18,NMBS/SNCB,BUS,Braine-Le-Comte -- Enghien,,700,,,
180,NMBS/SNCB,S20,Ottignies -- Louvain,,100,,,
181,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Central,,103,,,
182,NMBS/SNCB,IC,Tournai -- Saint-Nicolas,,103,,,
183,NMBS/SNCB,IC,Mouscron -- Saint-Nicolas,,103,,,
184,NMBS/SNCB,IC,Saint-Nicolas -- Courtrai,,103,,,
185,NMBS/SNCB,IC,Termonde -- Courtrai,,103,,,
186,NMBS/SNCB,IC,Tournai -- Courtrai,,103,,,
187,NMBS/SNCB,IC,Ath -- Courtrai,,103,,,
188,NMBS/SNCB,IC,Ath -- Saint-Nicolas,,103,,,
189,NMBS/SNCB,S9,Braine-L'Alleud -- Louvain,,100,,,
19,NMBS/SNCB,BUS,Audenarde -- Burst,,700,,,
190,NMBS/SNCB,S9,Braine-L'Alleud -- Landen,,100,,,
191,NMBS/SNCB,IC,Anvers-Central -- Binche,,103,,,
192,NMBS/SNCB,IC,Hal -- Anvers-Central,,103,,,
193,NMBS/SNCB,IC,Bruxelles-Midi -- Essen,,103,,,
194,NMBS/SNCB,S5,Malines -- Enghien,,100,,,
195,NMBS/SNCB,S5,Malines -- Grammont,,100,,,
196,NMBS/SNCB,S5,Hal -- Malines,,100,,,
197,NMBS/SNCB,IC,Turnhout -- Binche,,103,,,
198,NMBS/SNCB,IC,Schaerbeek -- Binche,,103,,,
199,NMBS/SNCB,IC,Turnhout -- La Louvière-Sud,,103,,,
2,NMBS/SNCB,IC,Troisvierges (LU) -- Liège-Guillemins,,103,,,
20,NMBS/SNCB,BUS,Malines -- Louvain,,700,,,
200,NMBS/SNCB,IC,Schaerbeek -- La Louvière-Sud,,103,,,
201,NMBS/SNCB,S7,Hal -- Malines,,100,,,
202,NMBS/SNCB,S5,Bruxelles-Luxembourg -- Enghien,,100,,,
203,NMBS/SNCB,IC,Bruxelles-Midi -- Landen,,103,,,
204,NMBS/SNCB,IC,Landen -- Gand-Saint-Pierre,,103,,,
205,NMBS/SNCB,IC,Louvain -- La Panne,,103,,,
206,NMBS/SNCB,S2,Louvain -- Braine-Le-Comte,,100,,,
207,NMBS/SNCB,IC,Bruxelles-Nord -- Brussels Airport-Zaventem,,103,,,
208,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Mons,,103,,,
209,NMBS/SNCB,IC,Schaerbeek -- Hal,,103,,,
21,NMBS/SNCB,BUS,Ottignies -- Louvain-La-Neuve,,700,,,
210,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Quévy,,103,,,
211,NMBS/SNCB,S2,Bruxelles-Midi -- Louvain,,100,,,
212,NMBS/SNCB,S2,Schaerbeek -- Hal,,100,,,
213,NMBS/SNCB,IC,Liège-Saint-Lambert -- Mons,,103,,,
214,NMBS/SNCB,IC,Liers -- Namur,,103,,,
215,NMBS/SNCB,IC,Liers -- Mons,,103,,,
216,NMBS/SNCB,IC,Herstal -- Mons,,103,,,
217,NMBS/SNCB,IC,Liers -- Mouscron,,103,,,
218,NMBS/SNCB,IC,Herstal -- Mouscron,,103,,,
